mean_lon,mean_lat,std_lon,std_lat,mean_velocity,std_velocity,max_velocity,mean_acceleration,std_acceleration,max_acceleration,traj_length,traj_duration,lon_range,lat_range,hurricane_category
-97.91428571428571,28.842857142857138,1.794777002804504,0.9730029259347328,2.6659856213566254e-05,2.5090264943148186e-06,3.088348162992233e-05,1.8141405359713414e-10,1.064990166802952e-10,3.863973846304908e-10,14.0,259200.0,5.400000000000006,3.0,1
-72.63469387755102,26.436734693877554,11.806735383521268,9.598547804226472,8.079025837217164e-05,3.565141886215099e-05,0.0001697881557490022,3.5182731797811314e-10,3.2288410249535554e-10,1.6919210180734503e-09,49.0,1015200.0,38.599999999999994,35.1,3
-74.73529411764706,33.94117647058823,2.2284104533924918,4.214548866169275,4.9276608416819625e-05,2.3656894472632324e-05,8.384615868645743e-05,2.913019376138111e-10,2.073106932984264e-10,9.124971260891647e-10,17.0,324000.0,6.400000000000006,13.3,0
-79.67333333333335,27.984444444444442,7.118969962946419,5.539191900772192,5.210777156512408e-05,2.535134162193717e-05,0.00010738345837725172,3.334790247397453e-10,2.917511339788734e-10,1.1392045838407304e-09,45.0,950400.0,21.5,20.5,3
-68.14999999999999,18.4125,2.844292530665581,0.9399966755260362,5.8028764654366864e-05,8.329796479039094e-06,7.320087176315693e-05,2.4938292035303516e-10,1.7742997805416697e-10,5.464484218099264e-10,8.0,151200.0,8.400000000000006,2.6999999999999993,1
-83.435,28.175,4.882035948249459,1.8968065267707193,5.232740352845371e-05,4.10835064201965e-05,0.00015216276323652588,3.889303240413231e-10,4.696327767341921e-10,1.4417892711627352e-09,20.0,410400.0,18.900000000000006,7.600000000000001,1
-68.58333333333333,22.561111111111114,4.939551261670098,5.221976944594503,4.1389633703925475e-05,1.1218744256518334e-05,7.320087176315692e-05,2.4856330102813777e-10,1.497947129071071e-10,6.248876773453882e-10,36.0,756000.0,16.099999999999994,18.799999999999997,1
-80.74,25.94,5.584335233490197,7.293668487119496,8.995011800550788e-05,4.327229761634944e-05,0.00020704333124998053,7.02504348597427e-10,3.8952734785824936e-10,1.7155146812395107e-09,25.0,496800.0,20.900000000000006,23.0,2
-54.458333333333336,25.67083333333333,15.44197247403611,10.626479472159264,9.8395107666716e-05,4.122184771192157e-05,0.000221763608555509,3.974470661150029e-10,3.0412023425109584e-10,1.0237146977099945e-09,48.0,1015200.0,51.099999999999994,34.1,4
-40.525,42.708333333333336,8.083638310397944,3.5198149414738014,0.00011621275481822949,9.034920962523606e-06,0.0001356489381850334,2.706105637247258e-10,2.1035750552882816e-10,6.474540237908588e-10,12.0,237600.0,25.5,11.0,3
-58.99090909090909,34.39999999999999,2.219113068303946,3.1618464110820947,4.4138127657341725e-05,3.2607181620223175e-05,0.0001067076904779269,6.733579925120068e-10,5.176054121759925e-10,1.5174685205017865e-09,22.0,453600.0,6.5,12.2,1
